"","F7","F8","F9","F10"
"PSA",0.26186469060787,0.976214349482156,0.420199412295173,1.60142193952279e-06
"SCA",0.00207888444865582,0.00186612147332376,0.162420232880407,3.86747574772591e-06
"RSA",0.000353119215010101,0.0331677236219149,NA,NA
"WOA",0.00205478323271258,0.253450670047933,0.225714667241355,7.84532135473003e-12
"GWO",0.00207425297697073,0.0675843613111312,0.0249770911632693,0.0119189137820069
