id_resultado,fitness,tiempoEjecucion,solucion,fk_id_experimento
21,-3382.42439722771,2.226,"[-97.79059473698901, -346.43179208229043, -152.30989730385232, 231.87577839203206, 422.4810121748235, 206.7302457676115, 191.64330012606175, 427.5811684565723, -330.9611910740722, 221.2965703811502, -173.58421501915004, 490.71989905990887, -500.0, 59.18967758737068, 57.29417706745631, -340.33792789860115, -495.58205839129425, -335.21159524007174, -283.8749442300176, 5.290825280293912, -125.89783219597982, 205.77424644677114, 379.8983869151648, -213.39709603444416, -318.0175789690186, -30.585896052919036, -250.36253292433875, 51.13636013906863, -8.934396067466196, 10.35165250612195]",21
22,-3995.61453364027,6.139,"[-500.0, -500.0, -500.0, -500.0, -500.0, 499.09952526507, -500.0, -500.0, 499.24949738100185, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, 499.55602297752455, -500.0, -500.0, -500.0, 499.99907762214525]",22
23,-2927.55076528399,5.316,"[-500.0, -500.0, -500.0, -500.0, 499.171588411462, -500.0, -500.0, -500.0, -500.0, -500.0, 499.5870947051902, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, 499.7546207119924, 499.0618602759843, -500.0, -500.0, -500.0, -500.0, -500.0, 499.67825575402753, 499.38959315134923, -500.0, -500.0, 499.82879896443836]",23
24,-3287.82681589677,5.26,"[-500.0, -500.0, -500.0, 499.2078302097408, -500.0, -500.0, -500.0, -500.0, 499.34349937248385, -500.0, -500.0, -500.0, -500.0, 499.336339305393, -500.0, -500.0, 499.20638503236177, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, 499.9996103224533, -500.0, -500.0, -500.0, 499.4621108795336]",24
25,-5139.58333610234,1.845,"[443.77411240621245, 215.18683222579287, 38.65564002005241, 61.74670479459738, 419.1603877368654, -500.0, 382.9202383883575, 402.8303551510462, -24.32571106589446, -314.11581324723414, 400.3232684212578, 357.89247969404005, -339.15701247497486, 406.1494184875672, 139.68303313347693, -333.455420862231, 206.84447859171325, 108.36102751014485, 381.1088754771483, 58.09404846345276, 399.1609750875107, 6.291316488233663, 321.65191024422154, 417.2927808624601, -500.0, -341.1635221488242, 367.6341451772128, 465.3407372940846, 401.6546605115944, -103.37040330556411]",25
26,-4637.84110517817,1.671,"[-121.93869418043805, 411.18105922187414, 406.3878154713605, 203.5712888212512, -500.0, 153.2730020301016, 374.51779903053756, 186.52457378367276, -109.15045315151883, 426.013977327209, 416.12895281463597, -500.0, 361.4236626613467, 31.226966112600717, -1.419897124768438, -29.236373828462227, -7.9055125874364105, 194.1868202508757, -500.0, -358.7937456427118, 372.8158709646197, 170.32188276873595, -153.78684350254707, 398.69649065806726, 434.62311017063746, 60.74291627527572, 244.4751923194433, -132.4052922663959, -306.96865089127255, -10.331709779701745]",26
27,-5306.2964031559,1.933,"[213.47692713089756, 117.45618116992323, 404.0533532929263, -500.0, -11.534361665870755, 179.59170375741934, 415.6644940297877, 404.15066591669364, 401.3848949369058, -278.47471329678814, 391.57302259000585, 419.26427636915207, 202.66237890971092, -129.9903307399766, 176.68374392157122, -141.5270640976841, -327.21758760842965, 398.7482732586439, 125.53878489482231, 33.944047396099236, 394.85702518164334, -341.10129286362053, 8.466498159078801, 257.71542568165904, 206.04875961333806, 384.56272785394555, 175.22287080531743, 378.7423965805528, 136.1903951391747, 398.545926389936]",27
28,-2382.71084340562,1.77,"[92.40263124652138, -162.71683268401344, 359.3012484883363, 65.75328862351306, -8.460688542924714, 490.44619514112037, -500.0, 416.3000613267448, 11.697293236053577, 95.05700693811197, -336.3377628087133, 251.82049245036737, 76.60367399294306, 200.6196420942973, 46.6310682870135, 205.3949761452681, 455.48015467958, 4.728832434923741, -111.83273238437891, 34.105486095654406, -58.22822682146013, 399.5779406343786, 238.74483804903298, -331.2248135398317, 185.15258091480302, 185.04736427146463, 241.0487314740897, 281.9920904358133, -52.402707432525176, -280.3195363244955]",28
29,-2274.97280176868,1.86,"[-442.4161058030447, 418.8433859766467, -104.82555660114423, -168.88012208319594, 373.0142647716698, 386.6081072563345, -91.30869000404482, -375.79284146460964, 461.1527634923158, -275.8416229410773, 340.23342976411743, 327.65424376517865, 60.360062437207944, 362.2634905281617, 411.15026879625043, -149.60692746513894, -100.63146481166893, -59.123112170420654, 61.399526576784524, 241.0574324979807, 47.24851344897104, 465.36742879216683, -383.9137288053842, -349.9243079135523, 398.99560206896183, -324.1733390447513, 417.50920965866214, 197.6940212298265, 128.0217970309252, -489.9336308836258]",29
30,-2551.27779661933,1.891,"[29.755425874374243, 276.4903716093941, -335.40748374561207, -286.30705796204364, 65.72523007566383, -500.0, 125.72699850037397, 364.18127425205995, -80.25461123513348, 409.5562938743735, -134.0114031028838, -500.0, 226.98070306556693, 69.29545659815606, 164.91088235737428, 500.0, -130.6968109430296, 391.3908566452064, 406.95328860446824, 78.13055015844304, -139.46129536508917, 351.2112686971468, 418.11028039456164, 17.72279423884665, 500.0, -273.7771404162293, 87.78577215702292, 279.3299375853937, 424.2800175457184, 133.28330935177038]",30
31,250.975590253641,1.907,"[-0.1354874723819636, 5.073048632311905, 2.6060938084876084, -0.9109460269239616, -0.144936179558737, 4.101787158075918, -2.9925480735268506, -2.084350412465422, -7.021857911749911e-05, 3.0335405732202525, 0.8988097172179216, -0.9044870290330259, 0.0691902307197382, -4.862299642433591, 1.9126849546939526, -0.11959078776414184, 4.769581089332895, -0.06882211254216995, -1.094310664335399, 1.8681764753589956, 1.0033573430864875, -1.0576308065971447, -1.8566173568166462, 0.9187493012456964, -0.8625458004265306, 2.1087362138434935, -4.974765264054267, 1.0442719684909396, 0.022464155566441036, -3.151388428868921]",31
32,316.472373514929,1.892,"[3.3753079183863246, 0.1441189237211068, 0.9948164006933172, 1.0314189894235455, 5.12, 2.029861502904931, 1.2412770719141035, -0.9634021734512069, 4.150999723307134, 4.0078307247492155, -1.0947069361019726, 3.9860450637660017, -3.0087930441570627, 0.052350428689345266, 0.09269193319331723, 0.9916389014062017, -0.03805339163503546, -0.03080229120290423, 0.21927061910577206, 4.5121194185735956, 1.9669523654391632, 0.004369732346582632, -2.9811878698192995, 5.12, -5.12, 1.9812423573186968, -0.9742002751728609, -5.12, 1.9235953773671703, -3.0233088676886384]",32
33,285.017005660975,2.033,"[-0.0836877395416444, 0.11155467956909774, -1.0103368826621453, -5.12, 0.005847863446026682, 0.0725196570838136, -3.921824620383602, 1.9753555521479373, -0.023448888412548954, -1.8899912498812532, -0.0995153302558933, 1.0115657928951918, 5.119812314119605, -0.8897462418459685, 1.088245982329071, 2.0480013930541374, 1.0572194952273628, 1.0940386821509145, -4.100743730832489, -0.2795197160760594, 0.0008817755595571936, 5.12, -3.002043538733636, 2.260121628012522, -5.012649953892524, -4.012173146181348, -1.401850332052637, 0.007463378158974821, 1.0696882342812744, 5.12]",33
34,180.142788157611,1.857,"[1.9544748106036125, -1.2235685498753128, -0.04571977885307039, -0.2788858659141619, 0.10265700239137973, -0.03832708978999265, 1.1484155689226272, 0.008572257097308324, 0.800567884616728, 0.5512377886496741, 0.07685617082958157, -2.0340212865355918, 1.1633574003007219, 3.000603695485357, -0.45077431434465454, -1.1400488392375014, -0.0076600966707350854, 2.7424399249583225, -0.21735719368548378, -0.003706589578505448, 0.02081368957293983, -0.09065259326676613, -0.061979782088073955, 1.8036953357756957, -1.9609023102976157, -0.008048598171338678, -0.019630664159406053, 3.1955789447986094, 1.1683660101336093, -0.20901218245596276]",34
35,102.284409134576,1.86,"[-0.27340980540140425, 0.04072545379981554, 0.0006807369879650434, -5.12, -0.19036779913167257, 0.012168749858383248, -0.10087573084186408, -0.05644070506847031, 0.12990686666145917, 0.05986570200781645, 1.9231884805788846, -0.09738329156181778, 0.013016029826473515, -0.007980660761402898, -0.006143099752000202, -2.1291168625562515, -0.12331228607775299, -0.006713748862176983, 0.00579545796585512, -3.0084328378767697, -0.01721866964931126, -0.09037128127435631, 1.1495345914037258, -0.0014521465108452273, 0.05905311263216118, 0.03371618839261039, -8.215538765204979e-05, 1.1925633617967852, -0.0051087216092323895, -0.19180655411099656]",35
36,156.651815165449,1.973,"[0.008215611962545031, 3.9371842858811643, 3.139860521172561, 0.19852183490606273, -0.010120990351862948, 0.03894490664386879, -0.1040931683979587, -0.04951548567040563, 0.03311242462450519, -5.12, 0.030636535983169955, 0.025205011133089338, -0.9474189132134871, 0.7329848110190075, 0.021423488153160614, 4.838150327966989, 0.12248578524661143, -0.2545071144638432, -1.0681043733736821, -0.001830815663156454, -0.0026875096693949187, 2.1437343947068013, 0.03867655388456992, -1.031967797315317, 0.03873978449193199, -0.019183794832027076, 1.17245347681286, 0.6968678283349805, -0.0054111078153680015, 0.0448953227991909]",36
37,0.0,4.913,"[-7.209805885364132e-17, -0.0, -3.907024677286488e-13, -4.0096531960032137e-45, -0.0, -0.0, -3.042021184011145e-27, -2.9306025649550674e-129, -2.1858439993615617e-52, -4.140132153658403e-73, -7.588897740940524e-13, -5.576535763045428e-164, 3.417003500280132e-240, 5.8491639084978884e-204, 0.0, -0.0, 4.813904200142088e-30, 1.6133212059018105e-101, 0.0, 4.990423738087229e-76, 5.146800618987484e-61, 1.869659168039589e-79, -3.866787686398044e-17, -0.0, 5.4781418817536996e-30, 0.0, -0.0, -3.403686029974993e-238, -2.010844017364252e-12, 7.315081846591892e-256]",37
38,0.0,5.369,"[-0.0, -9.925177034892589e-23, 0.0, -0.0, -5.026993684467682e-13, 0.0, 0.0, 0.0, -4.431242877274916e-198, 1.2858759539452124e-10, 1.1984621481890807e-08, -0.0, 3.7868051499679954e-13, -2.576942277372291e-30, -9.139607840609454e-66, 6.970069894234955e-23, -2.7040609625670335e-16, -6.230429321566819e-13, -0.0, 0.0, 3.8812860131665297e-26, 0.0, -0.0, 3.4120003094996166e-13, -0.0, -0.0, 4.3795107402213164e-94, 3.782993065516395e-114, 6.407631451692877e-15, 1.0502199579714866e-08]",38
39,0.0,5.06,"[0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 1.869684867856067e-20, 1.2851601465512023e-12, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0]",39
40,211.003697371442,1.879,"[-1.9367690260310628, -1.0927102273716651, 0.005710871840789257, -0.9204887226747693, 1.8817173229387498, 2.928718413965149, 2.0900923920198253, 0.8930867431196591, 1.9804271854344873, 3.8910820381197206, 1.1355145393297423, -2.0386501235226016, 0.0788763117512763, 0.37594288601690024, 4.963230258920326, -1.0891437256856267, 3.096755470224581, 0.22996907873110262, -1.1874001809023293, 1.9532011394426771, -1.202793551797365, -0.24960034134759812, 0.9726533707427616, -1.2391382181937638, 1.8233885156880967, 1.0083065809607457, 1.052975803909053, 1.6375959848118755, -1.079443100216263, 1.9303493951905148]",40
41,239.352232330823,1.912,"[1.732814247885584, 0.7520466468931, 3.138793385109083, 0.9786495919659056, -0.0015349954314809369, 1.9190165277175446, 0.9499801689230721, -0.4431533827236503, 1.5429169485595131, 1.7734215437253746, -1.224716643973155, 1.5860395146489537, 1.0675255791197586, 1.952646202216383, 0.8158259388688477, -1.0297881697971587, 1.98721852443953, 1.8571900731649538, 0.018592953880203458, 2.713882882407548, 0.9065435495867942, -2.267494670432634, -0.0776941169726226, 0.07278100084798049, 0.90817244757821, 0.6408215412107281, 2.817551891045853, 1.0330556318635427, 1.9047257156372779, 2.016270367822515]",41
42,317.175792216598,1.996,"[2.0063030899142045, -0.8583312730776331, 0.0742324228196676, 4.882914181045764, 0.9175097074843435, 1.6268925298583903, -3.018668854402449, 2.908163483367088, 1.164776602971342, 3.85202939275216, 1.2085580922086079, -2.0527479342243353, -0.9010046326393034, 2.990356166386184, 0.0582784915061959, 0.8998454150726896, 0.9999014622790905, -2.0220858352506235, -1.0950677977251861, -5.12, 3.821055969538801, -1.5070809142184824, 3.8349077303090637, 1.3737297052928856, 2.133215245723825, 2.8320345623003473, 3.981284801908016, 2.834574512652385, 1.0024985337058492, 2.7526232232015495]",42
43,37.9502617534144,2.003,"[-0.061685428911032035, -0.051963718142637644, 0.14209853570836564, -0.06594383356778995, -0.010909071946492084, -0.05973327805023002, 0.02185352441603355, -0.05476794995330995, -0.1421788595987756, -0.025162888019599136, -0.003331978549801648, -0.061098454235199794, 0.008154775153899922, 0.07960762018996224, 0.021278735093262224, -0.06117494291370535, -0.02525089412088563, 0.09596467180202295, 0.9827433953319957, -1.0127132236518042, -2.988768964387365, -0.0026186778343108264, 1.9871562706112134, 0.00879610796802073, -0.006345921604135097, 2.0044208359688933, -0.09529291971131276, -0.02814462336051521, -0.9703755076873329, 0.004070504966988668]",43
44,49.4012462267515,1.997,"[0.003816633048431792, 0.09538491452709918, 0.10680520705391479, 1.0401040338630303, -0.054232060238980105, 0.09501861637960653, -0.03581677315426937, -0.007276278569362571, 0.20746974712592428, 0.018042201864113514, 0.0017472021908912295, -0.163756664193539, -0.9535074705557364, -0.7594110789269499, -1.0520743613175227, -0.010776562722479377, 0.1271707613557857, 0.0005044667212176591, -0.0003854445444262076, 1.9636728732495399, 0.014673261400202408, 0.0001951539875471518, -0.010421873823200964, -1.9658173172198004, 0.91660875985984, 0.0005631729552426108, 0.054039382094389736, -0.00046296484777851764, 1.0279252102723886, -0.06749589156746215]",44
45,55.3062563796187,1.903,"[-0.04514313087224762, -0.03541002443109322, 0.01508306981826698, -0.00940729088215232, -0.012920660780549301, -0.0002923422410210671, 0.20859696119340765, -0.03990842306016009, -0.19510083597887262, -0.0025884112542035476, -0.9777324855559435, -0.14245848138076733, 0.04620398945156407, 0.001270078575921742, -0.9695055525070201, 0.24984739441054282, 1.0033342550428697, 0.018516046811989248, -0.9520479534122624, 0.0408060729763678, 0.22291123546242372, 0.00708693812881296, 1.0048749275618671, -0.0619845825576505, -0.04204160365197459, 0.030606347808908325, 0.08094042007036999, -2.9963793090868194, -4.098318346802714e-05, 0.009844538531987232]",45
46,19.711518436171,2.029,"[0.9337526549187064, -19.86595778941802, -24.083604060541397, -11.132686069980847, -26.95668298835524, 8.966160913695463, 11.005691837962965, 17.02639228001909, 22.07350750896416, 0.17771528410063392, 25.83965155482907, -3.978155957684418, 15.089864395765272, 5.1469720892906015, -21.067622122747593, -28.88596513701956, -7.026667495527062, 2.096737698264216, 6.959503240925381, -1.0881666554153737, 6.930484606160284, 25.12792457335504, -3.184476650650689, 20.223105011752665, -32.0, 2.9132987893810594, 0.30480523115588415, -2.9766117968442205, 3.9372289796092734, 4.193957216434069]",46
47,19.9589855701961,2.002,"[-32.0, 32.0, -32.0, 32.0, 32.0, 32.0, -32.0, 32.0, 4.99994565862931, -32.0, -32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, 32.0, -32.0, -32.0, -32.0, 32.0, -32.0, -32.0, 32.0, -32.0, 5.999748824762731, -32.0, 32.0, -32.0]",47
48,19.9599140048446,2.188,"[32.0, -32.0, 32.0, 32.0, -32.0, 32.0, -32.0, -32.0, -32.0, -32.0, -32.0, 32.0, 32.0, 32.0, 6.999978211092128, -32.0, 32.0, 32.0, 32.0, 32.0, -32.0, -32.0, -32.0, -32.0, 14.99996284130942, -32.0, 32.0, -32.0, 32.0, -32.0]",48
49,20.4112120970352,2.092,"[-32.0, -11.837550700364572, 32.0, 22.285537335498528, 32.0, 32.0, -32.0, 32.0, 31.686273814816307, -32.0, 32.0, -32.0, -32.0, 32.0, -19.01329458938735, 24.652575117403373, -32.0, -7.180768710307957, -30.067351513767438, 32.0, -6.1362262923018225, -32.0, -32.0, -6.898921852281731, 3.0145230965058243, 23.01795877943063, -32.0, 32.0, -32.0, 32.0]",49
50,16.1587663112544,1.988,"[1.9578077679586185, 0.3804235426824068, -0.1711449243581153, 8.708167196457557, -7.697193505341994, 3.325106685496764, 7.804651658445367, 0.0278584044472473, -0.6988797541420565, -14.066550967467048, 4.259893795728509, 10.627347540968545, -4.8926126960838765, -12.77464550864583, 5.021442294892519, 2.6426229319623946, 16.771843666481985, -2.98956660467012, -1.8021158997019826, -3.6311981633045525, 0.22067732543384372, -5.0627345051761035, 4.111680099415322, -0.30857207663370023, -0.2794996794390741, 12.958883752378732, -0.006623533589126058, -3.0450358999196494, 3.7706238791842672, -6.146703744678371]",50
